medicament,statut,domaine,date_maj,date_debut,date_remise,url
"Ropinirole EG 2 mg, comprimé pelliculé – [ropinirole (chlorhydrate de)]",Tension d'approvisionnement,Neurologie,,2026-05-13,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ropinirole-eg-2-mg-comprime-pellicule-ropinirole-chlorhydrate-de
"Cynomel 0,025 mg, comprimé sécable – [liothyronine sodique]",Arrêt de commercialisation,Endocrinologie,2026-06-08,2025-10-31,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cynomel-0-025-mg-comprime-secable-liothyronine-sodique
"Rovamycine 1,5 millions UI, lyophilisat pour usage parentéral – [spiramycine]",Remise à disposition,Infectiologie,2026-06-08,2026-06-08,2026-06-08,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rovamycine-1-5-millions-ui-lyophilisat-pour-usage-parenteral-spiramycine
"Ropinirole Teva 0,25 mg, 0,50 mg 1 mg et 2 mg, comprimés pelliculés – [ropinirole]",Tension d'approvisionnement,Neurologie,2026-06-05,2026-03-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ropinirole-0-25-mg-0-5-mg-1-mg-2-mg-et-5mg-comprime-pellicule-ropinirole
"Emblaveo 1,5 g/0,5 g, poudre pour solution à diluer pour perfusion – [avibactam sodique, aztréonam]",Tension d'approvisionnement,Infectiologie,2026-06-05,2026-02-13,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/emblaveo-1-5-g-0-5-g-poudre-pour-solution-a-diluer-pour-perfusion-avibactam-sodique-aztreonam
"Levocarnil 1 g/5 ml, solution injectable en ampoule – [lévocarnitine]",Tension d'approvisionnement,Hépato-gastroentérologie,2026-06-05,2026-04-29,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/levocarnitine-1-g-5-ml-solution-injectable-en-ampoule-levocarnitine
"Primaquine Sanofi 15 mg, comprimé pelliculé, flacon de 100 comprimés avec kit de reconditionnement – [primaquine (diphosphate de)]",Rupture de stock,Infectiologie,,2026-05-29,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/primaquine-sanofi-15-mg-comprime-pellicule-flacon-de-100-comprimes-avec-kit-de-reconditionnement-primaquine-diphosphate-de
"Tarka LP 180 mg/2 mg, comprimé pelliculé à libération prolongée, boite de 30 comprimés et de 90 comprimés – [trandolapril/vérapamil (chlorhydrate de)]",Tension d'approvisionnement,Cardiologie,2026-06-04,2025-06-19,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-180-mg-2-mg-comprime-pellicule-a-liberation-prolongee-boite-de-30-comprimes-et-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de
"Tarka LP 240 mg/2 mg, comprimé pelliculé à libération prolongée, boite de 30 comprimés et de 90 comprimés – [trandolapril/vérapamil (chlorhydrate de)]",Tension d'approvisionnement,Cardiologie,2026-06-04,2025-03-19,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-240-mg-2-mg-comprime-pellicule-a-liberation-prolongee-boite-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de
"Tarka LP 240 mg/4 mg, comprimé pelliculé à libération prolongée, boite de 90 comprimés – [trandolapril/vérapamil (chlorhydrate de)]",Tension d'approvisionnement,Cardiologie,2026-06-04,2026-05-29,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-240-mg-4-mg-comprime-pellicule-a-liberation-prolongee-boite-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de
"Tarka LP 240 mg/4 mg, comprimé pelliculé à libération prolongée, boite de 30 comprimés – [trandolapril/vérapamil (chlorhydrate de)]",Tension d'approvisionnement,Cardiologie,2026-06-04,2026-01-30,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-240-mg-4-mg-comprime-pellicule-a-liberation-prolongee-boite-de-30-comprimes-trandolapril-verapamil-chlorhydrate-de
"Tenormine 5 mg/10 ml, solution injectable IV en ampoule – [aténolol]",Rupture de stock,Cardiologie,2026-06-01,2026-04-14,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tenormine-5-mg-10-ml-solution-injectable-iv-en-ampoule-atenolol
"Parlodel 2,5 mg, comprimé sécable – [bromocriptine (mésilate de)]",Remise à disposition,"Endocrinologie, Neurologie",2026-05-29,2026-05-29,2026-05-29,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/parlodel-2-5-mg-comprime-secable-bromocriptine-mesilate-de
"Extencilline 1,2 MUI, poudre et solvant pour suspension injectable IM – [benzathine benzylpénicilline]",Remise à disposition,Infectiologie,2026-05-28,2026-05-04,2026-05-04,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/extencilline-1-2-mui-poudre-et-solvant-pour-suspension-injectable-im-benzathine-benzylpenicilline
"Extencilline 2,4 MUI, poudre et solvant pour suspension injectable IM – [benzathine benzylpénicilline]",Remise à disposition,Infectiologie,2026-05-28,2026-05-04,2026-05-04,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/extencilline-2-4-mui-poudre-et-solvant-pour-suspension-injectable-im-benzathine-benzylpenicilline
"Cimzia 200 mg, solution injectable en stylo prérempli – [certolizumab pégol]",Tension d'approvisionnement,Immunologie,,2026-05-11,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cimzia-200-mg-solution-injectable-en-stylo-prerempli-certolizumab-pegol
"Synacthène 0,25 mg/1 ml, solution injectable – [tétracosactide]",Tension d'approvisionnement,"Endocrinologie, Neurologie",2026-05-27,2025-11-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/synacthene-0-25-mg-1-ml-solution-injectable-tetracosactide
"Zentel 400 mg, comprimé et Zentel 0,4 g/10 mL, suspension buvable – [albendazole]",Tension d'approvisionnement,Infectiologie,,2025-10-06,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zentel-400-mg-comprime-et-zentel-0-4-g-10-ml-suspension-buvable-albendazole
"Betneval 0,1 %, crème – [bétaméthasone (valérate de)]",Tension d'approvisionnement,Dermatologie,2026-05-26,2026-04-03,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/betneval-0-1-creme-betamethasone-valerate-de
"Etopophos 100 mg, lyophilisat pour usage parentéral – [étoposide]",Remise à disposition,"Hématologie, Oncologie/Radiothérapie",2026-05-26,2026-05-26,2026-05-26,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/etopophos-100-mg-lyophilisat-pour-usage-parenteral-etoposide
"Novorapid Pumpcart 100 unités/ml, solution injectable en cartouche – [insuline asparte ((levure/saccharomyces cerevisiae))]",Tension d'approvisionnement,Endocrinologie,2026-05-22,2025-06-20,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/novorapid-pumpcart-100-unites-ml-solution-injectable-en-cartouche-insuline-asparte-levure-saccharomyces-cerevisiae
"Izalgi 500 mg/25 mg, gélule – [opium (poudre d'), paracétamol]",Tension d'approvisionnement,Traitement de la douleur,2026-05-22,2025-10-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/izalgi-500-mg-25-mg-gelule-opium-poudre-d-paracetamol
